question	choice_A	choice_B	choice_C	choice_D	answer
中国劳动人口总数最多。第一产业和第二产业劳动人口占比高于其它国家。第三产业占比远低于其它国家。下表是世界主要经济体的劳动人口比较表（2013年）。读表，完成下列各题。2000年后中国成为“世界工厂”，其原因主要是（ ）	资源丰富	交通便利	劳动力丰富	科技水平高	C
中国劳动人口总数最多。第一产业和第二产业劳动人口占比高于其它国家。第三产业占比远低于其它国家。下表是世界主要经济体的劳动人口比较表（2013年）。读表，完成下列各题。中国20至29岁的劳动力已由1990年的2.33亿减到2005年的1.65亿。其原因主要是（ ）	人口老龄化	人口移出	出生率下降	死亡率提高	C
男性和女性平均寿命都逐年延长，男女平均寿命差距在扩大。读我国平均预期寿命变化图，判断下列正确选项1981—2010年我国平均预期寿命变化图	男性平均寿命比女性逐年延长	男女平均寿命差距明显缩小	平均寿命延长预示我国已进入富裕国家	平均寿命延长预示我国养老压力将加大	D
①、②、③小于50%的时间在40年左右。人口负担系数一[（14岁及以下人口数+ 65岁及以上人口数）／（15～64岁人口数）]×100%。当人口负担系数≤50%，则称为“人口机会窗口”期。下图是中国、韩国和日本人口负担系数百年比较图，读图，完成下面小题。据图可知，“人口机会窗口”期一般为（ ）	20年左右	40年左右	60年左右	80年左右	B
“人口机会窗口”期人口负担系数小,对社会经济的影响是劳动力供给充足,社会负担相对较轻,D对,C错。人口老龄化程度较轻,利于社会经济发展,A错。生育率较低,造成人口结构失衡,B错。人口负担系数一[（14岁及以下人口数+ 65岁及以上人口数）／（15～64岁人口数）]×100%。当人口负担系数≤50%，则称为“人口机会窗口”期。下图是中国、韩国和日本人口负担系数百年比较图，读图，完成下面小题。“人口机会窗口”期对社会经济的影响是（ ）	人口老龄化加剧，阻碍社会经济发展	生育率迅速上升，造成人口结构失衡	劳动力供给不足，失业率下降	劳动力供给充足，社会负担相对较轻	D
1900年出生率和死亡率差值最小。下图为“某国人口出生率和死亡率统计图”，读图回答下列各题。该国人口自然增长率最低的时期是()	20世纪初期	20世纪40年代	20世纪60年代	20世纪末期	A
在1980-2000年出生率较高，死亡率较低，出生率和死亡率差值较大。下图为“某国人口出生率和死亡率统计图”，读图回答下列各题。该国在20世纪末期的人口增长模式表现为()	高出生率、高死亡率、高自然增长率	低出生率、低死亡率、低自然增长率	高出生率、低死亡率、高自然增长率	高出生率、高死亡率、低自然增长率	C
乙地总体看来集货费、加工费、工资较低下表是某产业建厂的几个预选地点与成本分析表，据表回答题从经济效益看，该厂最好建在( )	甲地	乙地	丙地	丁地	B
2010年年龄结构60岁占比最大图11为某地区人口年龄结构示意图，图中a、b、c分别表示1930年、1970年、2010年的人口年龄结构状况。读图完成23、24题。该山南坡比北坡垂直自然带显著的主要原因是南坡	纬度低	相对高度大	向阳坡	迎风坡	B
读图，我国近年人口性别比是先上升，后下降，不是持续下降，但总体都偏离正常范围出生人口性别比，是每出生百名女婴相对的出生男婴数，联合国明确认定了出生性别比的通常值域为102～107之间，其他值域则被视为异常。读我国部分年份出生人口性别比数据，完成下列各题。下列关于近些年我国人口性别比数据的说法正确的是：	我国出生人口性别比近年持续下降	环境污染导致性别比例异常	近些年我国出生人口性别比异常，与胎儿性别鉴定技术非法滥用有关	我国近些年人口性别比异常与社会文化因素无关	C
50%以上为沙漠;盐碱地面积广读某国国情简表，回答问题。从自然条件分析，该国发展农业生产的限制性条件是（ ）	劳动力	水源	市场	农业科技	B
50%以上为沙漠;盐碱地面积广读某国国情简表，回答问题。该国盐碱地面积广的主要人为原因是（ ）	气候干燥	不合理的灌溉	种植业发达	围海造田	B
骑自行车出行方式1986-2011年逐步下降、2011后开始回升。公共交通在2011年后上升。小汽车出行比例则在2011年后快速下降。“绿色出行”新理念已为我国许多城市市民所接受。下图为“1986～2015 年某城市市民主要出行方式变化图”。读图回答下面小题。新理念对市民出行方式产生明显影响的年份开 始于（ ）	2000 年	2005 年	2007 年	2011 年	D
骑自行车出行方式1986-2011年逐步下降、2011后开始回升。公共交通在2011年后上升。小汽车出行比例则在2011年后快速下降。“绿色出行”新理念已为我国许多城市市民所接受。下图为“1986～2015 年某城市市民主要出行方式变化图”。读图回答下面小题。市民出行方式变化对该城市产生的主 要影响是（ ）	优化城市空间结构	改善城市交通状况	改变城市服务功能	扩大城市地域范围	B
该地区气温随着日期总体上升读我国某地某时段气温变化示意图，回答下列问题。经过该地该时段的天气系统可能是	冷锋	台风	暖锋 	寒潮	C
5—6日该地区最高气温和最低气温温差最小读我国某地某时段气温变化示意图，回答下列问题。该地太阳能热水器使用效果最差的日期是	1～4日 	5～6日	6～7日 	7～8日	B
2015年之前劳动力增长率大于或等于0，2015年之后劳动力增长率小于0下图示意我国1960～2045年每五年的劳动人口增长变化（含预测）。读图完成下列各题。我国劳动人口数量最多的年份是（ ）	1965年	1980年	2015年	2045年	C
未来10年劳动人口增长小于0。下图示意我国1960～2045年每五年的劳动人口增长变化（含预测）。读图完成下列各题。未来10年劳动人口数量的变化将导致（ ）	老龄人口增加	人口增加	用工成本上升	人才外流严重	C
该地湖泊面积小，水位变化大，冬季枯竭。我国某湖泊面积2.8km2，海拔高度483m，图9表示湖泊水位变化。据此回答问题。该湖泊最有可能位于	青藏高原	西北地区	华北地区	长江中下游地区	B
该地湖泊面积小，水位变化大，冬季枯竭。我国某湖泊面积2.8km引起该湖泊水位季节变化的主要原因是	气温	降水	海陆位置	季风环流	A
随着离城市边缘距离的增加，植被生长期逐渐减小图为城市边缘区植被生长期变化坐标图，读图回答下题形成四城市边缘区植被生长期分布规律的原因，可能是	城市的雾岛效应	城市风热力环流效应	城市的热岛效应	城市的雨岛效应	C
总体上，上海市，杭州，常州，南京天数递减图为城市边缘区植被生长期变化坐标图，读图回答下题四城市边缘区植被生长期的差异，体现了	由赤道向两极的地域分异	由沿海向内陆的地域分异	垂直地域分异	地理环境的整体性	A
美国的南卡莱罗纳州的工资水平,低于全美的工资水平近年来，越来越多的中国企业赴美投资建厂，早在1999年海尔公司选择在美国南卡莱罗纳州建厂，当地政府规定，每创造一个就业机会就减免2500美元的税收。读南卡莱罗纳州与全美工资水平状况比较表，完成下列各题。美国吸引中国企业来美建厂的主要原因（ ）	增加就业	重振制造业	引进技术	吸引资金	A
该省人口总数增加，0-14岁人口比重下降明显，15-64岁人口比重上升，65岁以上老年人口比重在2000年超过7%。下表为我国某省人口变化统计表。读表，完成下题。该省区最可能是	江苏	青海	海南	河南	A
该省人口总数增加，0-14岁人口比重下降明显，15-64岁人口比重上升，65岁以上老年人口比重在2000年超过7%。下表为我国某省人口变化统计表。读表，完成下题。该省区在1990～2010年期间	人口死亡率大幅度提高	青壮年人口养老负担减轻	劳动力充足，就业压力小	人口数量增加，年增长率减小	D
甲城市人口比重一直在80%以上，丙城市城市人口比重增加最快。下图为“四国城市人口比重变化示意图”。读图完成下列问题。本世纪以来，城市化水平最高.发展速度最快的分别是（ ）	甲、丁	乙、丁	乙、丙	甲、丙	D
甲城市人口比重1990年之后开始下降。下图为“四国城市人口比重变化示意图”。读图完成下列问题。最早出现逆城市化现象的是（ ）	甲	乙	丙	丁	A
1990年至1999年间,福建省人口出生率为迅速下降下图是1980—2007年福建省人口自然变动曲线图（单位‰）， 读图完成各题。1990年至1999年间，福建省人口出生率为迅速下降，与人口出生率迅速下降无关的是	战争因素	制度因素	计划生育因素	社会经济因素	A
1980年-2007年，福建省死亡率波动不大。出生率和死亡率先下降后保持稳定。下图是1980—2007年福建省人口自然变动曲线图（单位‰）， 读图完成各题。据图分析，下列叙述正确的是	该图反映福建省人口增长模式已由传统型过度为现代型	由于自然增长率变动不大，因此福建省人口数量保持不变	1980年以来，人口出生率持续下降	1982年以来，人口死亡率持续下降	A
曲线1能源自给率最高大于百分之百。曲线2能源自给率降低。曲线Ⅲ能源自给率提高趋势明显。曲线Ⅳ自给率低。如图示意我国及东部、中部、西部三大地带能源自给率的变化情况。据此回答下列下列各题。图中四条曲线代表西部地带的是( )	Ⅰ	Ⅱ	Ⅲ	Ⅳ	C
死亡率逐年上升图8是我国人口相关数据统计图（数据来源：国家统计局官网）。出生人口性别比为每出生100名女婴相对应的出生男婴数。读图，回答第17、18题。洋流	乙造成附近海域多台风活动	丁沿岸气候干燥，荒漠广布	丙所在海域船舶向东航行，顺风顺水	戊带来丰富饵料，形成世界著名渔场	C
机械增长量大于自然增长量，所以以机械增长为主；而2012年机械增长量最多，自然增长量变化不大。读“我国东部沿海某地区2004～2012年人口增长情况示意图”。完成下列问题。有关该地区人口增长的正确叙述是	以机械增长为主	2012年机械增长率最高	出生率稳定不变	自然增长率不断上升	A
机械增长量大于自然增长量，所以以机械增长为主；而2012年机械增长量最多，自然增长量变化不大。读“我国东部沿海某地区2004～2012年人口增长情况示意图”。完成下列问题。目前该地区	社会治安压力减轻	失业率不断上升	基础设施负荷加重	就学难更为突出	C
2001年-2008年建成区面积增长率大于城镇人口增长率。如图示意2001～2011年我国城镇人口增长率与建成区面积增长率的比较(%)。2001～2008年我国城市人口人均城市用地面积（ ）	先增后减	先减后增	呈增加趋势	呈减少趋势	C
我国城镇人口增长率在2%-8%之间,而我国人口自然增长率很低小于1%城镇人口增长率远大于人口自然增长率如图示意2001～2011年我国城镇人口增长率与建成区面积增长率的比较(%)。据上图结合相关知识可判断，2001年以来我国（ ）	城市新增用地以商业用地为主	乡村人口数量持续增长	城市人口增长以自然增长为主	大量农业人口迁入城市	D
B线辐射量的最大值不在赤道,而在赤道偏北的位置；,辐射总量最大值北移到20附近如图为太阳辐射总量随纬度的变化坐标图，读图完成下题．关于B线的解释，正确的是（ ）	辐射总量与纬度呈正相关	辐射总量与纬度呈负相关	由于太阳直射点的移动，赤道出现辐射总量最大值	由于太阳直射点的移动，20°N附近出现辐射总量最大值	D
在1000千米附近的运距上，两种运输方式的市场分担率变化最大按照《中长期铁路网规划》，我国将建设多条铁路快速客运通道。结合下面“不同距离条件下高速铁路与航空运输两种运输方式的竞争关系模型图”，回答下列问题。由图可知，两种运输方式竞争最激烈的运距是	0～600千米	900～1100千米	1200～1600千米	大于1800千米	B
我国北亚热带气候适宜度不断下降。降水适宜度、日照适宜度不断下降。温度适宜度增加。图为“中国北亚热带柑橘生产的气候适宜度相对于多年平均值的变化图”，由图完成题由图可知，符合我国北亚热带地区柑橘生产发展变化是	气候适宜度不断增加，生产风险降低	各气候要素的适宜度不断下降，生产风险增加	柑橘生产的北界将不断北移，生产面积扩大	全球气候变暖，使柑橘生产的气候条件更加适宜	C
受灾比在5月-9月较高，1月-5月和10月-12月较低该图为我国三个流域“水灾受灾比（受水灾的县域个数与总县域个数的比值）多年平均的月变化图”。读图回答问题。三个流域水灾受灾比的特点有：	峰值均出现在4-6月	峰值出现月份与降水季节变化基本一致	峰值出现的时间由北向南逐渐推迟	珠江流域降水最为集中	B
黄河流域在7月受灾比最高该图为我国三个流域“水灾受灾比（受水灾的县域个数与总县域个数的比值）多年平均的月变化图”。读图回答问题。当黄河流域水灾受灾比出现峰值时：	江淮地区出现梅雨天气	巴西高原草木生长旺盛	墨西哥湾飓风活动频繁	喜马拉雅山雪线处于一年中最低位置	C
适度人口中最小值为63.8万。最大人口中最小值为106.2万人。下表为我国某城市不同指标下适度人口和最大人口的测算结果。据此完成。根据表中的数据可推测，该城市（ ）	环境人口容量为106.20万	人口合理容量是210.35万	人均居住用地相对短缺	可供水资源最为紧张	A
冬春季节客流量较大，夏秋季节客流量较小。该图为我国某省级行政区某年国内游客流量变化。读图完成问题。该省级行政区最可能是（）	新疆	海南	西藏	内蒙古	B
冬春季节客流量较大，夏秋季节客流量较小。该图为我国某省级行政区某年国内游客流量变化。读图完成问题。关于该省级行政区游客流量的变化原因分析，错误的是（）	因为天气炎热，4～10月份游客偏少	避寒季节，11月～次年3月份游客最多	客源市场等因素变化，7、8两月游客增多	“黄金周”效应，10月份游客增多	D
在1870年-1960年，乙的城市化水平大于甲大于丙。丙的城市化水平增长最快。美、日、德三个国家各自经历了迥然不同的城市化发展道路，分别是美国的大都市区发展模式、日本的综合发展模式和德国的中小城市发展模式。美国人口主要居住在大都市区内。大城市聚集发展在日本城市化进程中起着非常重要的带动作用，同时中小城市也发挥了重要的作用。德国居住在10万人口以上较大城市的人口仅有2500万，占总人口的30%左右。下图示意美、日、德三个国家城市化发展历程。读下图，完成下列各题。甲、乙、丙依次表示（ ）	美国、日本、德国	美国、德国、日本	日本、德国、美国	德国、美国、日本	B
1930之后丙的城市化进程最快。美、日、德三个国家各自经历了迥然不同的城市化发展道路，分别是美国的大都市区发展模式、日本的综合发展模式和德国的中小城市发展模式。美国人口主要居住在大都市区内。大城市聚集发展在日本城市化进程中起着非常重要的带动作用，同时中小城市也发挥了重要的作用。德国居住在10万人口以上较大城市的人口仅有2500万，占总人口的30%左右。下图示意美、日、德三个国家城市化发展历程。读下图，完成下列各题。图示三个国家中（ ）	均未出现逆城市化现象	目前德国城市化水平最高	美国城市化起步最早	二战后日本城市化速度最快	D
N省单位面积煤炭消耗量最大。图16为2010年我国部分省级行政区的单位面积煤炭消耗量，读图完成34、35题。P过程中最有可能出现的环境问题是	酸雨危害	土壤盐渍化	生态破坏	臭氧破坏	C
春节假期城市迁出的人口多，迁入的人口少。百度迁徙是利用百度LBS(基于位置服务)开放平台进行计算分析，用于展现人口大迁徙轨迹与特征。下图为2014年春节假期前后某日百度迁徙地图，下表为此期间部分大城市日迁移人数占同日全国迁移人口的百分比。据此回答下列问题。该LBS平台可能用到的地理信息技术有	RS GIS	GPS GIS 	RS GPS	GPS 数字中国	B
,2017年辽宁省人口死亡率大约为0.7%,出生率约为0.65%,人口自然增长率呈现负增长,故人口增长模式为“三低”模式,下图为辽宁省近十年人口出生率、死亡率变化折线图。完成小题。2017年辽宁省的人口增长模式属于（ ）	“高—高—低”模式	“高—低—高”模式	“低—低—高”模式	“低—低—低”模式	D
目前辽宁人口出生率偏低,目前辽宁省出现了人口负增长特点,人口增长慢,宜实施鼓励生育政策,提高出生率,提高人口增长速度,改善医疗卫生条件,能保障死亡率控制在较低水平;但目前辽宁老年人口多死亡率仍较高,人口增长慢或者负增长,劳动力不足,应推迟退休,缓解就业空缺。下图为辽宁省近十年人口出生率、死亡率变化折线图。完成小题。针对该人口增长模式可能出现的社会经济问题，宜采取的措施是（ ）	执行控制人口政策，降低出生率	实施鼓励生育政策，提高出生率	改善医疗卫生条件，降低死亡率	允许职工提前退休，增加就业率	B
甲海岸线长，铁路运营里程较长，铁路密度较小，公路运营里程长。乙海岸线长，铁路密度大，总里程却不大，交通发达，公路网密度大。丙海岸线少，铁路、公路密度大，总里程小。丁海岸线最长，交通运输以铁路为主，管道运输里程长。读中、日、韩、俄四国交通资料统计图表，回答下列各题。关于甲、乙、丙、丁四国说法正确的是	甲国大部分地区位于温带和亚热带地区，是金砖国家之一	乙国属于半岛国家，与我国隔海相望	丙国属于世界资源大国，人口是四国中最少的，属于金砖国家	丁国属于世界经济发达国家，人口稠密，资源需要大量进口	A
甲海岸线长，铁路运营里程较长，铁路密度较小，公路运营里程长。乙海岸线长，铁路密度大，总里程却不大，交通发达，公路网密度大。丙海岸线少，铁路、公路密度大，总里程小。丁海岸线最长，交通运输以铁路为主，管道运输里程长。读中、日、韩、俄四国交通资料统计图表，回答下列各题。目前甲国向乙国出口的矿产资源最有可能的是	铁矿石	煤炭	石油	天然气	B
数据图曲线走向，20011年后，华南地区降低，西南地区升高榨菜、方便面、火腿肠等是流动人口最为常见的消费品。下图为某上市公司生产的榨菜在两个分区销售份额占比的变化数据。据此回答下列各题。该销售份额占比的变化，能说明2011年后（ ）	西南地区人口迁出加快	西南地区人口回流明显	华南地区人口净迁入加快	华南地区人口净迁出明显	B
城市人口比重逐年上升。在1995-2000年增加较快。读“中国城市人口比重时间变化曲线图”，完成下列小题。改革开放以来，我国城市化发展速度最快的是（）	1980年前后	1990年前后	2000年前后	2005年前后	C
城市人口比重逐年上升。在1995-2000年增加较快。读“中国城市人口比重时间变化曲线图”，完成下列小题。下列有关我国城市化的叙述，正确的是（）	我国已进入城市化成熟阶段	东部地区城市化水平高于西部地区	城市化速度取决于城市规模的大小	资源不足是制约城市化进程的主要原因	B
相同海拔高度，海洋风速大于陆地风速作为一种清洁能源，风能的开发越来越受到人们的关注。读“陆地与海上风速统计图”，完成第7题。有关海上和陆地风速叙述正确的是( )	垂直风速梯度由地（海）面向高空增大	垂直风速梯度由地（海）面向高空减小	陆地风速较小是地转偏向力造成的	海上风速较大是海浪的推波助澜作用	B
第一产业比重没有发生变化。第二产业比重降低。第三产业比重增加。生产总值增加。读“某市三大产业和生产总值表”，回答下列各题。结合上表，判断下列说法正确的是	2008年该市生产总值中，第一产业产值不变	该市已由第二产业为主转化为以第三产业为主	2008年该市第二产业产值下降	该市产业结构已经优化，不必再进行产业转移	B
60年代以后,人口出生率达到43%读图“新中国人口的自然变动图”，回答下题．1950～2000年间，人口自然增长率最高年份的增长率约为（ ）	33‰	43‰	25‰	15‰	A
出生率下降,死亡率基本不变读图“新中国人口的自然变动图”，回答下题．根据图上曲线延伸的变化分析，未来10～20年内将出现的情况是（ ）	人口总量稳定	人口老龄化加速	人口总量逐渐减少	人口自然增长率约为17‰左右	B
1970年以后，我国总和生育率总体呈下降趋势总和生育率也称总生育率，是指某国家或地区的妇女在育龄期间，每个妇女平均生育的子女数。读我国总和生育率变化曲线图（数据未包括香港、澳门、台湾），回答下面小题。1970年以后，我国总和生育率总体呈下降趋势，导致这种变化的主要原因是（ ）	城市化的推进	城乡人口迁移	人口老龄化	国家人口政策	D
我国总和生育率呈下降趋势,且目前在一个较低的水平总和生育率也称总生育率，是指某国家或地区的妇女在育龄期间，每个妇女平均生育的子女数。读我国总和生育率变化曲线图（数据未包括香港、澳门、台湾），回答下面小题。如果图中所示变化趋势持续下去，最可能出现的是（ ）	人口素质下降	就业压力加大	人口老龄化	劳动力成本下降	C
N的种植面积逐年上升。M的种植面积逐年下降。下图是我国某两个省级行政区甘蔗种植面积变化示意图。完成下列小题。图1中的MN曲线分别代表的省级行政区可能是（）	闽、赣	粤、桂	川、鄂	苏、琼	B
在0-24时，太阳高度角大于0°。读“某地冬至日（12月22日前后）太阳高度日变化曲线图”，回答下列各题：该日当地的昼长是多少（）	0时	12时	24时	无法确定	C
在0-24时，太阳高度角大于0°。读“某地冬至日（12月22日前后）太阳高度日变化曲线图”，回答下列各题：该地的经纬度是（）	80°34'S,120°W	80°34'N,120°W	66°34'S,120°W	66°34'N,120°E	A
在0-24时，太阳高度角大于0°。读“某地冬至日（12月22日前后）太阳高度日变化曲线图”，回答下列各题：此日南极圈的日出方位是（）	正北	正东	东南	正南	D
2001-2002年之间太阳黑子数最多读1996～2009年月黑子平均数监测曲线图，回答问题。黑子是太阳活动的最主要形式之一，黑子位于太阳大气的( )	光球层	色球层	日冕层	太阳风	A
太阳辐射量M点在3月、6月份达最大，且变化最小；N点6月份达最大，9月份到3月份达太阳辐射量为0，变化大下图是“M、N两地太阳辐射的年变化示意图”，完成下列问题。M地最可能位于(　　)	赤道	回归线	极圈	极点	B
太阳辐射量M点在3月、6月份达最大，且变化最小；N点6月份达最大，9月份到3月份达太阳辐射量为0，变化大下图是“M、N两地太阳辐射的年变化示意图”，完成下列问题。5～7月如果N地获得的太阳辐射较低，最主要的原因可能是(　　)	太阳高度角大	昼夜长短	天气状况	地面状况	C
9月份日照时数是200小时。日照时数指太阳在某地实际照射的时间，图们江是中国与朝鲜的界河。下图为图们江流域日照时数年内变化柱状图。据此完成下列各题。日照百分率为一个时段内某地日照时数与理论上最大的日照时数的比值（﹪）。该流域9月份的日照百分率大约为（ ）	78﹪	64﹪	72﹪	55﹪	D
7月份日照时数较少日照时数指太阳在某地实际照射的时间，图们江是中国与朝鲜的界河。下图为图们江流域日照时数年内变化柱状图。据此完成下列各题。该流域日照时数在7月出现低谷的主要原因是（ ）	天空中云量多	下垫面植被增多	太阳高度变化大	昼长变短	A
0-24时，太阳高度都大于0。当当地为18点，最大太阳高度为40°下图为北半球某地某日的太阳高度变化示意图。读图完成下列问题。该地的地理坐标是( )	180°, 70°N	180°， 73°26 ′N	30°E， 73°26 ′N	30°E， 70°N	D
0-24时，太阳高度都大于0。当当地为18点，最大太阳高度为40°下图为北半球某地某日的太阳高度变化示意图。读图完成下列问题。若不考虑天气因素和建筑物的遮挡，该日福建一天中建筑物窗户受阳光照射的情况正确的是	只有东、西、南三面的窗户可受到阳光照射	南、北向窗户有阳光照射，东、西向窗户没有阳光照射	东、西向窗户有阳光照射，南、北向窗户没有阳光照射	东、西、南、北向窗户均可受到阳光照射	D
乙地8月气温为18°C，9月气温为13°C某种农作物生长期约2个月，前期(1个月)最适宜温度15～18℃，后期(1个月)最适宜温度12～14℃。下图是种植该作物的甲乙两地气候资料。根据所给材料，回答下面各题。该作物在乙地的最佳收获月份	3月	5月	9月	11月	C
乙地整体气温较甲地低某种农作物生长期约2个月，前期(1个月)最适宜温度15～18℃，后期(1个月)最适宜温度12～14℃。下图是种植该作物的甲乙两地气候资料。根据所给材料，回答下面各题。与甲地相比，乙地种植该作物	病虫害少 	水源丰富	离市场近	上市较迟	A
城乡过渡区的面积增加增长很大，而城市核心区变化不大读某城市面积变化过程示意图，回答下列各题。该城市最可能出现	逆城市化现象	城市中心区人口减少	城市中心区出现“空心化现象”	郊区城市化现象	D
城乡过渡区的面积增加增长很大，而城市核心区变化不大读某城市面积变化过程示意图，回答下列各题。在该城市的发展过程中，最有可能由市中心区向外转移的产业为	金融业	制造业	信息业	传媒业	B
第一产业就业人员比重最高国务院新闻办公室于2010年9月10日发表了《中国的人力资源状况》白皮书。图为《中国的人力资源状况》白皮书公布的我国2000～2009年就业人员从事产业的比例变化趋势图。读图，回答33～34题。下列叙述正确的是	我国三大产业就业人员比例均衡	我国从事第二产业的劳动力人数最多	第一产业就业人员所占比例将继续降低	我国三大产业的就业结构和社会经济发展水平相适应	C
第一产业就业人员比重逐渐降低国务院新闻办公室于2010年9月10日发表了《中国的人力资源状况》白皮书。图为《中国的人力资源状况》白皮书公布的我国2000～2009年就业人员从事产业的比例变化趋势图。读图，回答33～34题。下列关于导致我国第一产业就业人员比例变化原因的叙述，正确的是	耕地面积不断减少，第一产业产值不断下降	我国农村地区计划生育成效显著，人口自然增长率不断下降	农业的劳动生产效率不断提高，耕种单位面积耕地所需劳动力减少	我国长期以来不重视第一产业的发展	C
乙的各个项目数目最大。下表为我国四个城市的部分社会服务功能情况，据表中信息完成下列各题。表中城镇等级由高到低的排序是（ ）	甲乙丙丁	乙丁甲丙	甲丙丁乙	乙丁丙甲	D
乙的各个项目数目最大。下表为我国四个城市的部分社会服务功能情况，据表中信息完成下列各题。四城市中，最适宜发展国家级IT产业的是（ ）	甲	乙	丙	丁	B
我国的能源资源以煤炭资源为主,占60%--70%左右。原煤、天然气的消费比重呈逐年上升趋势。在2000~2011年,原油消费比重逐渐下降。川气东送（下图）被列为继三峡工程、西气东输、青藏铁路、南水北调之后的中国第五大工程，该工程西起四川普光气田，东至上海市。表1为我国能源消费结构(%)表。据此回答题。关于川气东送工程的叙述不正确的是（ ）	修建时可能带来水土流失环境问题	影响管道走向的主要因素是城市分布	可以带动沿线相关产业的发展	经过高原和山地多、工程难度较大	D
1983～2003年，江苏省年平均气温有的年份高，有的年份低，总体波动上升。读“1983～2003年江苏省年平均气温变化图”，完成小题。1983～2003年，江苏省年平均气温变化的总体趋势是 (　　)	降幅超过升幅	逐年上升	升高约2.1℃	波动上升	D
1983～2003年，江苏省年平均气温有的年份高，有的年份低，总体波动上升。读“1983～2003年江苏省年平均气温变化图”，完成小题。为减缓气候变化，人类应采取的主要措施有 (　　)	加强对台风、寒潮等灾害性天气的监测和预报	改善能源结构，加强对太阳能、核电、风能等新能源的开发和利用	加快对海洋资源的开发和利用	禁止使用排放二氧化碳的矿物燃料	B
2010年我国清洁能源中水电和核电所占比重最大清洁能源是指不排放污染物的能源。下图为2007～2010年中国电力各细分行业发电量占比图表。据此回答小题。2010年中国清洁能源发电主要集中在 (　　)。	水电与核电	火电与水电	水电与其他	火电与核电	A
核电所占比例基本不变。火电2007年比重为80.30%，2010年比重为77%。水电2007年比重为17.70%，2010年比重为19.40%。清洁能源是指不排放污染物的能源。下图为2007～2010年中国电力各细分行业发电量占比图表。据此回答小题。从图中可以看出，自2007年至2010年(　　)。	中国核电所占比重持续上升	中国火电所占比重下降了3.3个百分点	中国水电所占比重上升了3.4个百分点	中国的能源消费结构以清洁能源为主	B
1980—2010年城市人口比重上升的最快下图为我国乡村和城市人口占总人口比重变化曲线图。读图回答下列各题。由图中信息可知	1980～2010年我国城市化发展速度最快	1950～2010年我国城市人口出生率一直大于乡村地区	在甲时间点，我国城市与乡村的人口自然增长率相同 	房地产开发是我国城市人口比重上升的直接原因	A
城市人口比重逐年上升，乡村人口比重逐年上升。2010年左右城市人口比重超过乡村人口比重。下图为我国乡村和城市人口占总人口比重变化曲线图。读图回答下列各题。关于我国城市化的叙述，正确的是	2010年后，城市化发展趋缓主要受逆城市化的影响	城市化发展速度快，大中小城市协调发展	随着经济的发展，中西部将会大量涌现城市群和城市带	积极促进乡村非农产业发展，加快乡村城镇化	D
最佳弧垂随着气温升高而升高。电线会受到所在地的气温、降水、风力等条件影响发生长度变化.，相邻两个电杆上电线悬挂高度相同时，电线最低点与两悬挂点间连线的垂直距离我们称之为电线弧垂（如图所示，L为弧垂，单位：米）。图为弧垂示意图，右图为不同气温条件下。电线最佳弧垂随气温变化曲线图。回答题。下列四个地区中，最佳弧垂的年变化幅度按由小到大的顺序排列正确是（）	海口北京郑州哈尔滨	上海南京武汉重庆	郑州青岛乌鲁木齐兰州	海口南昌西安长春	D
最佳弧垂随着气温升高而升高。电线会受到所在地的气温、降水、风力等条件影响发生长度变化.，相邻两个电杆上电线悬挂高度相同时，电线最低点与两悬挂点间连线的垂直距离我们称之为电线弧垂（如图所示，L为弧垂，单位：米）。图为弧垂示意图，右图为不同气温条件下。电线最佳弧垂随气温变化曲线图。回答题。我国贵州省某些年份冬季经常会出现电线断裂或电杆拉倒的情况，主要原因是（）	冬季用电量大，超出电线负荷所致	靠近冬季风源地，风力大	受南下冷空气影响，形成冻雨，电线结冰	野生动物的破坏	C
a在0-6时较低，8-16时较高。b在0-6时较大，8-16时较低。c在6-12时较高，14-20时较低。下图为欧洲、北美、中国三地区域电网实时负荷率变化曲线。负荷率是指用电量与发电厂的设计最大供电量的比值。读图完成下列小题。a、b、c分别表示（）	欧洲、北美、中国	北美、欧洲、中国	欧洲、中国、北美	中国、北美、欧洲	A
a在0-6时较低，8-16时较高。b在0-6时较大，8-16时较低。c在6-12时较高，14-20时较低。下图为欧洲、北美、中国三地区域电网实时负荷率变化曲线。负荷率是指用电量与发电厂的设计最大供电量的比值。读图完成下列小题。图中三大区域电网（）	负荷曲线日变化与当地太阳高度日变化一致	负荷曲线之间差异产生的根本原因是地球公转	负荷总值在世界时20时达到最大	互联可以实现电力负荷的削峰填谷	D
在50°N，当经度为90°E时，气压取得最大值。在180°，30°N和50°N都取得最小值。下图示意某月份海平面平均气压沿两条纬线的变化状况。读图，完成下列各题。该月份可能是（ ）	1月	4月	7月	10月	A
50°N最大值最小值之差大于30°N下图示意某月份海平面平均气压沿两条纬线的变化状况。读图，完成下列各题。图示区域50°N的东西气压差大于30°N的，其主要影响因素是（ ）	太阳辐射	海陆分布	大气环流	地势起伏	B
